entityid,isperson,companyname,email,phone,address1_addressName,address1_addressee,address1_phone,address1_line1,address1_line2,address1_city,address1_state,address1_zipCode,address1_country,terms,Track 1099,Tax ID
POWDER MARKET,FALSE,POWDER MARKET,,(888) 358-3444,Bill-To,POWDER MARKET,,852 INTERSTATE DRIVE,,MANCHESTER,TN,37355,United States,2,No,
POWDER-X COATING SYSTEMS,FALSE,POWDER-X COATING SYSTEMS,consumables@powderx.com,,Bill-To,POWDER-X COATING SYSTEMS,,824 INDUSTRIAL DRIVE,,MURFREESBORO,TN,37129,United States,2,No,
POWER-X COATING SYSTEMS,FALSE,POWER-X COATING SYSTEMS,consumables@powderx.com,(888) 326-4840,Bill-To,POWER-X COATING SYSTEMS,,824 INDUSTRIAL DRIVE,,MURFREESBORO,TN,37129,United States,2,No,
POWERUP POWER SYSTEMS,FALSE,POWERUP POWER SYSTEMS,poweruppowersystems@gmail.com,(318) 741-0810,Bill-To,POWERUP POWER SYSTEMS,,3080 KNOLIN DRIVE STE# 5,,BOSSIER CITY,LA,71112,United States,4,No,
PRAXAIR DISTRIBUTION,FALSE,PRAXAIR DISTRIBUTION,,(361) 575-6473,Bill-To,PRAXAIR DISTRIBUTION,,"DEPT 0812
POB 120812",,DALLAS,TX,75312-0812,United States,2,No,
Pressure Geeks,FALSE,Pressure Geeks,,,Bill-To,Pressure Geeks,,1907 Pine River Drive,,Kingwood,TX,77339,United States,2,No,
PROGRESSIVE METAL SERVICE,FALSE,PROGRESSIVE METAL SERVICE,,,Bill-To,PROGRESSIVE METAL SERVICE,,4117 MEADOW LANE,,BOSSIER CITY,LA,71111,United States,2,No,
PROMAR INTERNATIONAL MFG,FALSE,PROMAR INTERNATIONAL MFG,,(713) 272-7191,Bill-To,PROMAR INTERNATIONAL MFG,,POB 1721,,STAFFORD,TX,77497,United States,2,No,
PUFFER-SWEIVEN,FALSE,PUFFER-SWEIVEN,Lana.Schammaa@puffer.com,(281) 240-2000,Bill-To,PUFFER-SWEIVEN,,POB 301124,,DALLAS,TX,75303-1124,United States,2,No,
QTRCO INC,FALSE,QTRCO INC,Accounting@qtrco.com,(281) 516-0277,Bill-To,QTRCO INC,,13120 THEIS LANE,,TOMBALL,TX,77375,United States,2,No,
QUALITY VALVE LLC,FALSE,QUALITY VALVE LLC,,,Bill-To,QUALITY VALVE LLC,,PO BOX 16107,,MOBILE,AL,36616,United States,2,No,
QUEST DIAGNOSTICS,FALSE,QUEST DIAGNOSTICS,,,Bill-To,QUEST DIAGNOSTICS,,POB 740709,,ATLANTA,GA,30374-0709,United States,2,No,
"QUEST VALVE & CONTROLS, LLC",FALSE,"QUEST VALVE & CONTROLS, LLC",,(281) 975-2429,Bill-To,"QUEST VALVE & CONTROLS, LLC",,14623 Rosehill Drive,,HOUSTON,TX,77070,United States,2,No,
R&S SUPPLY,FALSE,R&S SUPPLY,,,Bill-To,R&S SUPPLY,,3556 NEW MONROE ROAD,,BASTROP,LA,71220,United States,2,No,
RADWELL INTERNATIONAL,FALSE,RADWELL INTERNATIONAL,,,Bill-To,RADWELL INTERNATIONAL,,POB 419343,,BOSTON,MA,02241-9343,United States,2,No,
RAMTEC TRAINING SERVICES,FALSE,RAMTEC TRAINING SERVICES,,(281) 597-9637,Bill-To,RAMTEC TRAINING SERVICES,,POB 940637,,HOUSTON,TX,77094-7637,United States,2,No,
Raptor Blasting Systems LLC,FALSE,Raptor Blasting Systems LLC,infor@raptorblaster.com,(916) 409-2458,Bill-To,Raptor Blasting Systems LLC,,5800 88th St,,Sacramento,CA,95828,United States,2,No,
RASAII FLOW LINES PRIVATE LTD,FALSE,RASAII FLOW LINES PRIVATE LTD,ADMIN@RLFVALVES.COM,(950) 018-6786,Bill-To,RASAII FLOW LINES PRIVATE LTD,,"FERNDALE, 1ST, AVENUE, RWD LAYOUT
NEAR GAYATHRI NAGAR",,MEDAVAKKAM,CHENNAI,600100,INDIA,2,No,
RAWSON INC.,FALSE,RAWSON INC.,laura.janak@rawsonlp.com,(713) 684-1400,Bill-To,RAWSON INC.,,POB 732161,,DALLAS,TX,75373-2161,United States,2,No,
RAWSON OR INDUSTRIAL CONTROLS (ICD),FALSE,RAWSON OR INDUSTRIAL CONTROLS (ICD),ar@relevantsolutions.com,,Bill-To,RAWSON OR INDUSTRIAL CONTROLS (ICD),,PO BOX 95605,,GRAPEVINE,TX,76099-9730,United States,2,No,
"REGIONAL STEEL PRODUCTS, INC",FALSE,"REGIONAL STEEL PRODUCTS, INC",,(361) 578-5277,Bill-To,"REGIONAL STEEL PRODUCTS, INC",,POB 3887,,VICTORIA,TX,77903,United States,2,No,
RELIANT,FALSE,RELIANT,,,Bill-To,RELIANT,,POB 650475,,DALLAS,TX,75265-0475,United States,2,No,
Renegade Parts Washers,FALSE,Renegade Parts Washers,dtylka@renegadepartswashers.com,(800) 774-7900,Bill-To,Renegade Parts Washers,,2320 Zinga Dr,,Reedsburg,WI,53959,United States,2,No,
REPUBLIC SERVICES  #975,FALSE,REPUBLIC SERVICES  #975,,,Bill-To,REPUBLIC SERVICES  #975,,POB 9001099,,LOUISVILLE,KY,40290-1099,United States,21,No,
REPUBLIC SERVICES #853,FALSE,REPUBLIC SERVICES #853,,,Bill-To,REPUBLIC SERVICES #853,,PO BOX 78829,,PHOENIX,AZ,85062-8829,United States,2,No,
RGA,FALSE,RGA,,,Bill-To,RGA,,3905 EAST PROGRESS STREET,,NORTH LITTLE ROCK,AR,72114,United States,16,No,
RMA TOLL PROCESSING,FALSE,RMA TOLL PROCESSING,,,Bill-To,RMA TOLL PROCESSING,,POB 734182,,DALLAS,TX,75373-4182,United States,2,No,
RMC SALES INC,FALSE,RMC SALES INC,,,Bill-To,RMC SALES INC,,POB 5956,,SHREVEPORT,LA,71135,United States,2,No,
ROGERS PALLET CO,FALSE,ROGERS PALLET CO,,,Bill-To,ROGERS PALLET CO,,937 HWY 7 NORTH,,CAMDEN,AR,71701,United States,2,No,
RPP LLC,FALSE,RPP LLC,,(952) 828-3700,Bill-To,RPP LLC,,22737 NETWORK PLACE,,CHICAGO,IL,60673-1227,United States,2,No,
RSVP,FALSE,RSVP,,(979) 826-4211,Bill-To,RSVP,,600 HWY290 EAST,,HEMPSTEAD,TX,77445,United States,2,No,
Russell Industries,FALSE,Russell Industries,angela@russellindustries.net,(713) 692-7225,Bill-To,Russell Industries,,6125 Nordling Road,,Houston,TX,77076,United States,2,No,
SAIA MOTOR FREIGHT,FALSE,SAIA MOTOR FREIGHT,,,Bill-To,SAIA MOTOR FREIGHT,,PO BOX 730532,,DALLAS,TX,75373-0532,United States,2,No,
SalesForce.com Inc,FALSE,SalesForce.com Inc,,800-667-6389,Bill-To,SalesForce.com Inc,,POB 203141,,DALLAS,TX,75320-3141,United States,2,No,
"SAMSON CONTROLS, INC",FALSE,"SAMSON CONTROLS, INC",,(281) 383-3677,Bill-To,"SAMSON CONTROLS, INC",,4111 CEDAR BLVD,,BAYTOWN,TX,77523-8588,United States,2,No,
SEALED AIR CORP,FALSE,SEALED AIR CORP,,,Bill-To,SEALED AIR CORP,,26077 NETWORK PLACE,,CHICAGO,IL,60673-1260,United States,2,No,
SECURITY PRO,FALSE,SECURITY PRO,,318-377-6165,Bill-To,SECURITY PRO,,801 BROADWAY STREET,,MINDEN,LA,71055,United States,2,No,
SETPOINT INTEGRATED SOLUTIONS,FALSE,SETPOINT INTEGRATED SOLUTIONS,,(800) 256-7373,Bill-To,SETPOINT INTEGRATED SOLUTIONS,,POB 935076,,ATLANTA,GA,31193-5076,United States,16,No,
SIEMENS INDUSTRY INC,FALSE,SIEMENS INDUSTRY INC,,,Bill-To,SIEMENS INDUSTRY INC,,POB 2715,,CAROL STREAM,IL,60132,United States,2,No,
SIGMA SUPPLY,FALSE,SIGMA SUPPLY,,(800) 264-1661,Bill-To,SIGMA SUPPLY,,POB 20980,,HOT SPRINGS,AR,71903,United States,2,No,
SK-BBT INDUSTRIAL CO,FALSE,SK-BBT INDUSTRIAL CO,,,Bill-To,SK-BBT INDUSTRIAL CO,,"No 4 Building, Jinlong Idustrial Zone, Longjiang Road",,"Xie Keng, Qingxi, Dongguan",Guangdong provice,523652,China,2,No,
SMITH FASTENER,FALSE,SMITH FASTENER,,,Bill-To,SMITH FASTENER,,DEPT 455 POB 4985,,HOUSTON,TX,77210-4985,United States,2,No,
"SMITHCO INDUSTRIES, INC.",FALSE,"SMITHCO INDUSTRIES, INC.",,713-947-8942,Bill-To,"SMITHCO INDUSTRIES, INC.",,8918 WAYFARER LANE,,HOUSTON,TX,77075,United States,2,No,
SOL'S,FALSE,SOL'S,,(318) 387-2242,Bill-To,SOL'S,,POB 2407,,MONROE,LA,71207,United States,2,No,
SOUTH-TECH SUPPLY.,FALSE,SOUTH-TECH SUPPLY.,,(361) 485-9791,Bill-To,SOUTH-TECH SUPPLY.,,POB 3501,,VICTORIA,TX,77903,United States,2,No,
Southcross Energy,FALSE,Southcross Energy,,(214) 979-3700,Bill-To,Southcross Energy,,"Accounts Payable
2103 Citywest Blvd
Suite 900",,Houston,Tx,77042,United States,2,No,
SOUTHEASTERN FREIGHT,FALSE,SOUTHEASTERN FREIGHT,,,Bill-To,SOUTHEASTERN FREIGHT,,POB 100104,,COLUMBIA,SC,29202-3104,United States,2,No,
SPARKMAN INDUSTRIES,FALSE,SPARKMAN INDUSTRIES,,,Bill-To,SPARKMAN INDUSTRIES,,169 AVIATION DRIVE,,VICTORIA,TX,77904,United States,2,No,
SPARKS HOT SHOT SERVICE,FALSE,SPARKS HOT SHOT SERVICE,bamsparks851@aol.com,318-268-6474,Bill-To,SPARKS HOT SHOT SERVICE,,851 YELLOW PINE ROAD,,SIBLEY,LA,71073,United States,2,Yes,20-3605674
SPARKTECH INC,FALSE,SPARKTECH INC,sales@sparktechinc.com,(512) 716-3131,Bill-To,SPARKTECH INC,,"1308 CHISHOLM TRAIL
STE# 105",,ROUND ROCK,TX,78681,United States,2,No,
SPC - Houston,FALSE,SPC - Houston,,,Bill-To,SPC - Houston,,9440 Bamboo Road,,Houston,TX,77041,United States,2,No,
SPC Haughton,FALSE,SPC Haughton,kliles@sullivanprocess.com,,Bill-To,SPC Haughton,,450 Covington Rd.,,Haughton,LA,71037,United States,2,No,
SPECVALVE.,FALSE,SPECVALVE.,spevalve@cgocable.ca,(819) 879-6464,Bill-To,SPECVALVE.,,"RICHARD TREMBLAY
50 RUE DOYON",,ASBESTOS,QC J1T1H7,,CANADA,1,No,
SPIR STAR LTD,FALSE,SPIR STAR LTD,,,Bill-To,SPIR STAR LTD,,PO BOX 973504,,DALLS,TX,75397-3504,United States,2,No,
SPRING BRANCH I.S.D.,FALSE,SPRING BRANCH I.S.D.,,(713) 251-7960,Bill-To,SPRING BRANCH I.S.D.,,"C.A. PORTER CPA
PO BOX 19037",,HOUSTON,TX,77224,United States,2,No,
SPRINGER INDUSTRIAL,FALSE,SPRINGER INDUSTRIAL,,(480) 898-3144,Bill-To,SPRINGER INDUSTRIAL,,3164 NORTH COLORADO STREET,,CHANDLER,AZ,85225,United States,2,No,
STAPLES ADVANTAGE,FALSE,STAPLES ADVANTAGE,,888-753-4103,Bill-To,STAPLES ADVANTAGE,,POB 105638,,ATLANTA,GA,30348-5638,United States,2,No,
STEEL SUPPLY LP,FALSE,STEEL SUPPLY LP,,,Bill-To,STEEL SUPPLY LP,,PO BOX 733705,,DALLAS,TX,75373,United States,2,No,
"STEVEN LEVY ENTERPISES, INC",FALSE,"STEVEN LEVY ENTERPISES, INC",,713-910-4337,Bill-To,"STEVEN LEVY ENTERPISES, INC",,1412 PENNSYLVANIA,,SOUTH HOUSTON,TX,77587,United States,2,No,
STRATEGIC.,FALSE,STRATEGIC.,,,Bill-To,STRATEGIC.,,"3915 W DAVIS STREET
STE# 130",,CONROE,TX,77304,United States,2,No,
SUDDENLINK COMMUNICATIONS,FALSE,SUDDENLINK COMMUNICATIONS,,,Bill-To,SUDDENLINK COMMUNICATIONS,,POB 70340,,PHILADELPHIA,PA,19176-0340,United States,1,No,
Sullivan Properties LLC (Vendor),FALSE,Sullivan Properties LLC (Vendor),jamesasullivan878@gmail.com,,Bill-To,Sullivan Properties LLC (Vendor),,2803 CAMP ZION ROAD,,DOYLINE,LA,71023,United States,2,Yes,72-1493968
SUMMIT PUMP INC,FALSE,SUMMIT PUMP INC,,(920) 869-4800,Bill-To,SUMMIT PUMP INC,,POB 12145,,GREEN BAY,WI,54307,United States,2,No,
SUNBELT SUPPLY CO.,FALSE,SUNBELT SUPPLY CO.,betsy.thaxton@flowworks.com,(770) 241-1418,Bill-To,SUNBELT SUPPLY CO.,,POB 951037,,DALLAS,TX,75395-1037,United States,2,No,
SURFACE PREP,FALSE,SURFACE PREP,,,Bill-To,SURFACE PREP,,"SPT DIVISION
5973 SOUTH LOOP FAST",,HOUSTON,TX,77033,United States,2,No,
SUSSEX TOOL,FALSE,SUSSEX TOOL,,,Bill-To,SUSSEX TOOL,,POB 565,,SUSSEX,WI,53089,United States,2,No,
SWAGELOK LA,FALSE,SWAGELOK LA,,(225) 926-5520,Bill-To,SWAGELOK LA,,9243 INTERLINE AVENUE,,BATON ROUGE,LA,70809,United States,2,No,
SWEPCO,FALSE,SWEPCO,,318-868-1300,Bill-To,SWEPCO,,PO BOX 371496,,PITTSBURGH,PA,15250-7496,United States,21,No,
T2 LAWNCARE,FALSE,T2 LAWNCARE,tsaucier@sullivanprocess.com,,Bill-To,T2 LAWNCARE,,204 HILMAN ROAD,,DOYLINE,LA,71023,United States,2,Yes,84-0930224
Taylor Electric,FALSE,Taylor Electric,scott@taylorelctricservices.com,(281) 859-8173,Bill-To,Taylor Electric,,7618 Granite Ridge Lane,,Houston,TX,77095,United States,2,No,
TDS,FALSE,TDS,,(817) 465-9494,Bill-To,TDS,,"TECHNICAL DIAGNOSTIC SERVICES
15825 TRINITY BLVD",,FORT WORTH,TX,76155,United States,2,No,
TEAM INDUSTRIAL SERVICES,FALSE,TEAM INDUSTRIAL SERVICES,,,Bill-To,TEAM INDUSTRIAL SERVICES,,POB 842233,,DALLAS,TX,75284-2233,United States,2,No,
TECHLINE INTERNATIONAL,FALSE,TECHLINE INTERNATIONAL,,(855) 289-9334,Bill-To,TECHLINE INTERNATIONAL,,30533 SGT E.I. BOOTS THOMAS DRIVE,,SPANISH FORT,AL,36527,United States,2,No,
TEXAS COMPTROLLER OF PUBLIC ACCOUNTS,FALSE,TEXAS COMPTROLLER OF PUBLIC ACCOUNTS,,,Bill-To,TEXAS COMPTROLLER OF PUBLIC ACCOUNTS,,POB 149348,,AUSTIN,TX,78714-9348,United States,2,No,
TEXAS WORKFORCE COMMISSION,FALSE,TEXAS WORKFORCE COMMISSION,,,Bill-To,TEXAS WORKFORCE COMMISSION,,"ATTN: CASHIER
101 E 15TH STREET",,AUSTIN,TX,78778-0091,United States,2,No,
TFORCE FREIGHT,FALSE,TFORCE FREIGHT,,,Bill-To,TFORCE FREIGHT,,POB 650690,,DALLAS,TX,75265-0690,United States,20,No,
TGCI,FALSE,TGCI,,,Bill-To,TGCI,,7575 DILLON STREET,,HOUSTON,TX,77061-2826,United States,2,No,
THE CROSBY CO,FALSE,THE CROSBY CO,,,Bill-To,THE CROSBY CO,,183 PRATT STREET,,BUFFALO,NY,14204,United States,2,No,
THE NUT PLACE,FALSE,THE NUT PLACE,,(713) 462-3147,Bill-To,THE NUT PLACE,,6605 GESSNER ROAD,,HOUSTON,TX,77040-4015,United States,2,No,
THE PURPLE GUYS,FALSE,THE PURPLE GUYS,,,Bill-To,THE PURPLE GUYS,,PO BOX 306471,,NASHVILLE,TN,37230-6471,United States,2,No,
THE TRANSMITTER SHOP,FALSE,THE TRANSMITTER SHOP,,,Bill-To,THE TRANSMITTER SHOP,,2531 PRESTON AVENUE,,PASADENA,TX,77503,United States,2,No,
THIRD COAST TRUCKING,FALSE,THIRD COAST TRUCKING,stuart_thirdcoasttrucking@yahoo.com,(361) 920-1967,Bill-To,THIRD COAST TRUCKING,,307 AUGUS STREET,,VICTORIA,TX,77904,United States,2,No,
THYSSENKRUPP MATERIALS,FALSE,THYSSENKRUPP MATERIALS,,,Bill-To,THYSSENKRUPP MATERIALS,,POB 2625,,CAROL STREAM,IL,60132,United States,2,No,
TOPS Pipeline,FALSE,TOPS Pipeline,ap@alignmidstream.com,,Bill-To,TOPS Pipeline,,2200 Ross Ave Ste 4600E,,Dallas,TX,75201,United States,2,No,
TOYOTA INDUSTRIES COMMERCIAL,FALSE,TOYOTA INDUSTRIES COMMERCIAL,,,Bill-To,TOYOTA INDUSTRIES COMMERCIAL,,POB 660926,,DALLAS,TX,75266-0926,United States,2,No,
TRAVELERS CL REMITTANCE CENTER,FALSE,TRAVELERS CL REMITTANCE CENTER,,,Bill-To,TRAVELERS CL REMITTANCE CENTER,,POB 660317,,DALLAS,TX,75266-0317,United States,2,No,
TRG BOND,FALSE,TRG BOND,,,Bill-To,TRG BOND,,211 E MAIN STREET STE C,,BOZEMAN,MT,59715,United States,2,No,
TRI-STATE INDUSTRIAL,FALSE,TRI-STATE INDUSTRIAL,,(318) 424-4520,Bill-To,TRI-STATE INDUSTRIAL,,POB 7007,,SHREVEPORT,LA,71137,United States,2,No,
Tricor Refining.,FALSE,Tricor Refining.,,,Bill-To,Tricor Refining.,,POB 5877,,Bakersfield,CA,93388-5877,United States,2,No,
TRIDENT SOUTHEAST LLC,FALSE,TRIDENT SOUTHEAST LLC,,,Bill-To,TRIDENT SOUTHEAST LLC,,"HAAS FACTORY OUTLET
POB 851342",,MINNEAPOLIS,MN,55485-1342,United States,2,No,
TRINOVA INC,FALSE,TRINOVA INC,,,Bill-To,TRINOVA INC,,4485 LAUGHLIN DRIVE S,,MOBILE,AL,36693,United States,2,Yes,63-0517031
TVC,FALSE,TVC,,(281) 227-9911,Bill-To,TVC,,15862 DIPLOMATIC PLAZA,,HOUSTON,TX,77032,United States,2,No,
TxTag,FALSE,TxTag,,,Bill-To,TxTag,,PO Box 650749,,Dallas,TX,75465-0749,United States,2,No,
U.S. SURPLUS RECOVERY,FALSE,U.S. SURPLUS RECOVERY,ANDREWSURPLUS@GMAIL.COM,,Bill-To,U.S. SURPLUS RECOVERY,,10306 CLAYBROOK DRIVE,,HOUSTON,TX,77089,United States,2,No,
ULINE,FALSE,ULINE,,800-295-5510,Bill-To,ULINE,,POB 88741,,CHICAGO,IL,60680-1741,United States,2,No,
UNITED PRINTING,FALSE,UNITED PRINTING,,800-590-4343,Bill-To,UNITED PRINTING,,8200-A ARROWRIDGE BLVD,,CHARLOTTE,NC,28273,United States,2,No,
UNITED RENTALS,FALSE,UNITED RENTALS,,(361) 661-3265,Bill-To,UNITED RENTALS,,POB 840514,,DALLAS,TX,75284-0514,United States,2,No,
UNITED VALVE & SURPLUS,FALSE,UNITED VALVE & SURPLUS,,(713) 703-1812,Bill-To,UNITED VALVE & SURPLUS,,3727 DON GIOVANNIE PLACE,,KATY,TX,77493,United States,4,Yes,461-77-9315
UPS,FALSE,UPS,,504-733-7250,Bill-To,UPS,,LOCKBOX 577,,CAROL STREAM,IL,60132-0577,United States,2,No,
UPS (PA),FALSE,UPS (PA),,,Bill-To,UPS (PA),,POB 7247-0244,,PHILADELPHIA,PA,19170-0001,United States,20,No,
UPS SUPPLY CHAIN SOLUTIONS,FALSE,UPS SUPPLY CHAIN SOLUTIONS,,,Bill-To,UPS SUPPLY CHAIN SOLUTIONS,,28013 NETWORK PLACR,,CHICAGO,IL,60673-1280,United States,2,No,
UPS.H,FALSE,UPS.H,,,Bill-To,UPS.H,,POB 650116,,DALLAS,TX,75265-0116,United States,2,No,
UPS.V,FALSE,UPS.V,,,Bill-To,UPS.V,,POB 650116,,DALLAS,TX,75265-0116,United States,2,No,
US POSTAL SERVICE,FALSE,US POSTAL SERVICE,,,Bill-To,US POSTAL SERVICE,,PO BOX FEE PAYMENT,,HAUGHTON,LA,71037,United States,2,No,
VALVE PARTS USA,FALSE,VALVE PARTS USA,,,Bill-To,VALVE PARTS USA,,17490 MERRY OAKS TRL,,CHAGRIN FALLS,OH,44023,United States,2,No,
VAN LONDON CO,FALSE,VAN LONDON CO,AR@vanlondon.com,(800) 522-7920,Bill-To,VAN LONDON CO,,"VATCO
POB 677116",,DALLAS,TX,75267-7116,United States,2,No,
VANAIRE,FALSE,VANAIRE,,(906) 428-4656,Bill-To,VANAIRE,,840 CLARK DRIVE,,GLADSTONE,MI,49837-8966,United States,2,No,
VERIFORCE,FALSE,VERIFORCE,,(844) 768-9041,Bill-To,VERIFORCE,,"300 HOLIDAY SQUARE, STE# 100",,COVINGTON,LA,70433,United States,4,No,
VICTORIA BEARING SUPPLY,FALSE,VICTORIA BEARING SUPPLY,,(361) 575-7478,Bill-To,VICTORIA BEARING SUPPLY,,POB 2112,,VICTORIA,TX,77902,United States,21,No,
VICTORIA BUILDER SUPPLY,FALSE,VICTORIA BUILDER SUPPLY,,,Bill-To,VICTORIA BUILDER SUPPLY,,5301 N JOHN STOCKBAUER,,Victoria,TX,77904,United States,2,No,
VICTORIA COUNTY TAX OFFICE,FALSE,VICTORIA COUNTY TAX OFFICE,,(361) 576-3671,Bill-To,VICTORIA COUNTY TAX OFFICE,,"205 N BRIDGE STREET
STE# 101
POB 2569",,VICTORIA,TX,77902,United States,2,No,
VICTORIA ELECTRIC COOP,FALSE,VICTORIA ELECTRIC COOP,,,Bill-To,VICTORIA ELECTRIC COOP,,POB 2178,,VICTORIA,TX,77902-2178,United States,2,No,
VICTORIA UTILITY BILLING OFFICE,FALSE,VICTORIA UTILITY BILLING OFFICE,,,Bill-To,VICTORIA UTILITY BILLING OFFICE,,POB 1279,,VICTORIA,TX,77902-1279,United States,2,No,
VICTORIA'S PLATINUM PROPERTIES,FALSE,VICTORIA'S PLATINUM PROPERTIES,bferguson@kimberlitehomes.com,,Bill-To,VICTORIA'S PLATINUM PROPERTIES,,3805 E RIO GRANDE,,VICTORIA,TX,77901,United States,2,Yes,27-0595883
VICTORY AIR,FALSE,VICTORY AIR,,(361) 573-0819,Bill-To,VICTORY AIR,,903 PROFIT DRIVE,,VICTORIA,TX,77901,United States,2,No,
"VILLAGE WATER SYSTEMS, INC.",FALSE,"VILLAGE WATER SYSTEMS, INC.",,318-949-0223,Bill-To,"VILLAGE WATER SYSTEMS, INC.",,PO BOX 96,,PRINCETON,LA,71067,United States,2,No,
VINCENT RECYCLING,FALSE,VINCENT RECYCLING,vincent_recycling@yahoo.com,(409) 882-4158,Bill-To,VINCENT RECYCLING,,POB 1710,,ORANGE,TX,77631,United States,4,No,
WASTE MANAGEMENT CORP,FALSE,WASTE MANAGEMENT CORP,,,Bill-To,WASTE MANAGEMENT CORP,,"AS PAYMENT AGENT
POB 660345",,DALLAS,TX,75266-0345,United States,2,No,
WCS QUALITY REGISTRARS,FALSE,WCS QUALITY REGISTRARS,,(281) 589-1468,Bill-To,WCS QUALITY REGISTRARS,,POB 940637,,HOUSTON,TX,77094-7637,United States,2,No,
WEBSTER MACHINE WORKS,FALSE,WEBSTER MACHINE WORKS,,(318) 377-8390,Bill-To,WEBSTER MACHINE WORKS,,POB 267,,MINDEN,LA,71058,United States,2,No,
WENDEL SANDBLASTING,FALSE,WENDEL SANDBLASTING,,,Bill-To,WENDEL SANDBLASTING,,65 KENNE ROAD,,MEYERSVILLE,TX,77974-4116,United States,1,No,
WENDT ELECTRICAL SERVICES,FALSE,WENDT ELECTRICAL SERVICES,,(361) 573-7344,Bill-To,WENDT ELECTRICAL SERVICES,,9685 US HWY 87 N,,VICTORIA,TX,77904,United States,4,No,
"Wenzhou Conch Electric Co, Ltd",FALSE,"Wenzhou Conch Electric Co, Ltd",,+86 577-27812008,Bill-To,"Wenzhou Conch Electric Co, Ltd",,"Houximen Community, Wengyang St",,Yueqing City,Zhejiang Province,325606,China,2,No,
WESTERN STATES AUTOMATION LLC,FALSE,WESTERN STATES AUTOMATION LLC,,(208) 473-2886,Bill-To,WESTERN STATES AUTOMATION LLC,,PO BOX 46033,,BOISE,ID,83711,United States,2,No,
WHEATCO INDUSTRIAL SUPPLY & EQUIPMENT,FALSE,WHEATCO INDUSTRIAL SUPPLY & EQUIPMENT,wheatco@eatel.net,(225) 673-2590,Bill-To,WHEATCO INDUSTRIAL SUPPLY & EQUIPMENT,,POB 483,,PRAIRIEVILLE,LA,70769,United States,2,No,
WILHITE ELECTRIC,FALSE,WILHITE ELECTRIC,,(318) 747-3780,Bill-To,WILHITE ELECTRIC,,4450 VIKING LOOP,,BOSSIER CITY,LA,71111,United States,2,No,
WILLIAMS VALVE CORP,FALSE,WILLIAMS VALVE CORP,,,Bill-To,WILLIAMS VALVE CORP,,"POB 1349
38-52 REVIEW AVENUE",,LONG ISLAND CITY,NY,11101,United States,2,No,
WINSTEAD PC/ATTORNEYS,FALSE,WINSTEAD PC/ATTORNEYS,accountsreceivable@winstead.com,,Bill-To,WINSTEAD PC/ATTORNEYS,,"ATTN: ACCOUNTS PAYABLE
2728 N HARWOOD STREET
STE# 500",,DALLAS,TX,75201-1743,United States,2,Yes,75-2404691
WOLFSON FLOW CONTROLS LTD CO,FALSE,WOLFSON FLOW CONTROLS LTD CO,,,Bill-To,WOLFSON FLOW CONTROLS LTD CO,,12920 WINTER SPRINGS DR.,,PEARLAND,TX,77584-3401,United States,2,No,
WORK KARE OF WK,FALSE,WORK KARE OF WK,,,Bill-To,WORK KARE OF WK,,2724 GREENWOOD ROAD,,SHREVEPORT,LA,71109,United States,2,No,
WSC QUALITY REGISTRARS LLC,FALSE,WSC QUALITY REGISTRARS LLC,,,Bill-To,WSC QUALITY REGISTRARS LLC,,POB 940637,,HOUSTON,TX,77094-7637,United States,2,No,
XEROX FINANCIAL SERVICES,FALSE,XEROX FINANCIAL SERVICES,xfscustomercare@jdrsol.com,(844) 733-9280,Bill-To,XEROX FINANCIAL SERVICES,,POB 202882,,DALLAS,TX,75320-2882,United States,2,No,
XPO LOGISTICS,FALSE,XPO LOGISTICS,Amy.Young@xpo.com,(318) 424-1094,Bill-To,XPO LOGISTICS,,29559 NETWORK PLACE,,CHICAGO,IL,60673-1559,United States,20,No,
YARMOUTH RESEARCH AND TECHNOLOGY,FALSE,YARMOUTH RESEARCH AND TECHNOLOGY,,,Bill-To,YARMOUTH RESEARCH AND TECHNOLOGY,,434 WALNUT HILL RD,,NORTH YARMOUTH,ME,04097,United States,2,No,
YRC FREIGHT,FALSE,YRC FREIGHT,,,Bill-To,YRC FREIGHT,,POB 730375,,DALLAS,TX,75373-0375,United States,1,No,
ZEP SALES & SERVICE,FALSE,ZEP SALES & SERVICE,customer_service@zep.com,(318) 347-0626,Bill-To,ZEP SALES & SERVICE,,POB 841508,,DALLAS,TX,75284-1508,United States,2,No,
