entityId,isperson,companyname,category,email,phone,Address1_Addressee,Address1_phone,Address1_line1,Address1_city,Address1_state,Address1_zipCode,Address1_country,Address1_defaultBilling,Address1_defaultShipping,terms,Taxable Status
INTERNATIONAL TECHNICAL SERVICES (ITS),No,INTERNATIONAL TECHNICAL SERVICES (ITS),10,rhoskins@sullivanprocess.com,(787) 793-4290,INTERNATIONAL TECHNICAL SERVICES (ITS),(787) 793-4290,"584 ALDEBARAN ST
URB. ALTAMIRA",SAN JUAN,PUERTO RICO,00920,Puerto Rico,Yes,No,11,Yes
INTERNATIONAL TECHNIQUE INDUSTRY CO,No,INTERNATIONAL TECHNIQUE INDUSTRY CO,10,,82522897008,INTERNATIONAL TECHNIQUE INDUSTRY CO,82522897008,"33-5 DUWANGRO 22 GIL
NAMGU",ULSAN,SOUTH KOREA,,South Korea,Yes,No,2,Yes
INTERNATIONAL VALVE,No,INTERNATIONAL VALVE,10,rguild@collinspipe.com,(860) 292-5341,INTERNATIONAL VALVE,(860) 292-5341,"COLLINS PIPE & SUPPLY
POB 1053
11 THOMPSON ROAD",EAST WINDSOR,CT,06088,United States,Yes,No,2,No
"Interstate Treating, Inc.",No,"Interstate Treating, Inc.",8,Accounting@InterTreat.com,(432) 362-9291,"Interstate Treating, Inc.",(432) 362-9291,2310 Prospect,Odessa,TX,79762,United States,Yes,No,2,No
"INV NYLON CHEMICALS OF AMERICAS, LLC",No,"INV NYLON CHEMICALS OF AMERICAS, LLC",2,APInvoices@INVISTA.com,,"INV NYLON CHEMICALS OF AMERICAS, LLC",,POB 5003,WICHITA,KS,67201-5003,United States,Yes,No,2,No
Ironsmith Compression Inc,No,Ironsmith Compression Inc,10,mannon@Iron-Smith.com,(432) 530-9295,Ironsmith Compression Inc,(432) 530-9295,114 W 83rd St,Odessa,TX,79764,United States,Yes,No,11,No
ISC CONSTRUCTORS LLC,No,ISC CONSTRUCTORS LLC,10,agulino@iscgrp.com,(225) 218-7682,ISC CONSTRUCTORS LLC,(225) 218-7682,20480 HIGHLAND ROAD,BATON ROUGE,LA,70817,United States,Yes,No,2,Yes
ITUS GLOBAL,No,ITUS GLOBAL,10,kristiina@1-lng.com,(800) 603-4070,ITUS GLOBAL,(800) 603-4070,609 MAIN ST.,HOUSTON,TX,77009,United States,Yes,No,11,Yes
J. CROFT,No,J. CROFT,10,james@jcroft.com,(903) 388-6472,J. CROFT,(903) 388-6472,POB 21748,WACO,TX,76702,United States,Yes,No,11,Yes
J. GLOBAL ENERGY MIDSTREAM LLC,No,J. GLOBAL ENERGY MIDSTREAM LLC,6,ap@jge-midstream.com,(903) 399-5048,J. GLOBAL ENERGY MIDSTREAM LLC,(903) 399-5048,"440 LOUISIANA STREET
STE# 1818",HOUSTON,TX,77002,United States,Yes,No,2,Yes
JAMES LAKE MIDSTREAM,No,JAMES LAKE MIDSTREAM,6,ap@woodlandmidstream.com,(281) 720-3130,JAMES LAKE MIDSTREAM,(281) 720-3130,"24 WATERWAY
STE# 1400",THE WOODLANDS,TX,77380,United States,Yes,No,2,No
"JDJ SALES, INC.",No,"JDJ SALES, INC.",10,mhughes@jdjsales.com,865-2393,"JDJ SALES, INC.",865-2393,POB 6620,SHREVEPORT,LA,71106,United States,Yes,No,2,No
JGE MIDSTREAM,No,JGE MIDSTREAM,6,AP@jge-midstream.com,(903) 399-5048,JGE MIDSTREAM,(903) 399-5048,"440 LOUISIANA STREET
STE# 1818",HOUSTON,TX,77002,United States,Yes,No,2,Yes
JOHN H. FEHLINGER CO,No,JOHN H. FEHLINGER CO,10,operations@jnfsteam.com,(212) 233-1383,JOHN H. FEHLINGER CO,(212) 233-1383,"20 VESSEY STREET
STE 1000",NEW YORK CITY,NY,10007,United States,Yes,No,11,Yes
JP SERVICES,No,JP SERVICES,10,accounts.payable@jpservices.com,(832) 299-6779,JP SERVICES,(832) 299-6779,16619 ALDINE WESTFIELD ROAD,HOUSTON,TX,77032,United States,Yes,No,2,Yes
KAISER PUMP & VALVE INC,No,KAISER PUMP & VALVE INC,10,kaiserpumpvalve@gmail.com,(903) 643-9232,KAISER PUMP & VALVE INC,(903) 643-9232,11894 HWY 149,LONGVIEW,TX,75603,United States,Yes,No,11,No
KAISER-FRANCIS OIL COMPANY,No,KAISER-FRANCIS OIL COMPANY,6,BrettB@kfoc.net,(918) 491-4661,KAISER-FRANCIS OIL COMPANY,(918) 491-4661,P. O. BOX 21468,TULSA,OK,74121-1468,United States,Yes,No,2,Yes
KEMIRA CHEMICAL,No,KEMIRA CHEMICAL,2,Accounts.PayableUS@kemira.com,(678) 819-4555,KEMIRA CHEMICAL,(678) 819-4555,"1000 PARKWOOD CIRCLE
STE# 500 ATTN: AP",ATLANTA,GA,30339,United States,Yes,No,2,No
KINDER MORGAN NORSE PLANT,No,KINDER MORGAN NORSE PLANT,6,alisha_nelson@kindermorgan.com,(701) 648-9030,KINDER MORGAN NORSE PLANT,(701) 648-9030,10370 88TH ST NW,MCGREGOR,ND,58755,United States,Yes,No,2,Yes
KINDERHAWK FIELD SERVICE,No,KINDERHAWK FIELD SERVICE,6,kinderhawk_invoices@kindermorgan.com,318.934.9211,KINDERHAWK FIELD SERVICE,318.934.9211,9580 ST VINCENT AVENUE,SHREVEPORT,LA,71106,United States,Yes,No,2,No
KITTRELL INDUSTRIAL & SUPPLY,No,KITTRELL INDUSTRIAL & SUPPLY,10,David.Kittrellsupply@yahoo.com,(601) 909-2689,KITTRELL INDUSTRIAL & SUPPLY,(601) 909-2689,216 WEST CENTRAL AVENUE,PETAL,MS,39465,United States,Yes,No,2,Yes
"Komar Industries, Inc.",No,"Komar Industries, Inc.",10,bstilson@komarindustries.com,(614) 836-2366,"Komar Industries, Inc.",(614) 836-2366,4425 Marketing Pl,Groveport,OH,43125,United States,Yes,No,2,No
KONKI,No,KONKI,10,konki@btconnect.com,(215) 253-5685,KONKI,(215) 253-5685,"7 GREAT VALLEY PKWY
STE# 210",MALVERN,PA,19355,United States,Yes,No,11,Yes
L & L PROCESS SOLUTIONS,No,L & L PROCESS SOLUTIONS,10,mkennedy@egm-llc.com,(251) 660-8255,L & L PROCESS SOLUTIONS,(251) 660-8255,3748 INDUSTRIAL PARK DRIVE,MOBILE,AL,36683,United States,Yes,No,2,Yes
L&S SUPPLY,No,L&S SUPPLY,10,corey@ls-supply.com,(501) 388-2540,L&S SUPPLY,(501) 388-2540,1408 HWY 125,DAMASCUS,AR,72039,United States,Yes,No,11,No
LANXESS,No,LANXESS,2,apinvproc@lanxess.com,870.862.5141,LANXESS,870.862.5141,111 RIDC PARK WEST DRIVE,PITTSBURGH,PA,15275,United States,Yes,No,2,No
"Laredo Petroleum, Inc.",No,"Laredo Petroleum, Inc.",6,,9185134570,"Laredo Petroleum, Inc.",9185134570,15 W 6th St Ste 1800,Tulsa,OK,74119,United States,Yes,No,2,No
LCM INDUSTRIES INC,No,LCM INDUSTRIES INC,10,ap@lcmindustries.com,(432) 332-5516,LCM INDUSTRIES INC,(432) 332-5516,1605 S MARLIN,ODESSA,TX,79763,United States,Yes,No,2,No
LESMAN INSTRUMENT CO,No,LESMAN INSTRUMENT CO,10,glennb@lesman.com,(630) 757-1760,LESMAN INSTRUMENT CO,(630) 757-1760,135 BERNICE DRIVE,BENSENVILLE,IL,60106,United States,Yes,No,2,Yes
LIME INSTRUMENTS,No,LIME INSTRUMENTS,10,,(713) 781-1883,LIME INSTRUMENTS,(713) 781-1883,1187 BRITTMOORE ROAD,HOUSTON,TX,77043,United States,Yes,No,11,No
Linde,No,Linde,2,,,Linde,,119140 Rick Jones Way,Silverbow,MT,59750,United States,Yes,No,11,Yes
LION OIL CO.,No,LION OIL CO.,2,lioninvoices@delekus.com,870-864-1475,LION OIL CO.,870-864-1475,PO BOX 7560,MONROE,LA,71211-7560,United States,Yes,No,2,No
LM TOUCHDOWN LLC,No,LM TOUCHDOWN LLC,6,,,LM TOUCHDOWN LLC,,"2850 N. HARDWOOD STREET, SUITE 1050",DALLAS,TX,75201,United States,Yes,No,2,Yes
"Lockwood Partners, LLC",No,"Lockwood Partners, LLC",10,apinvoices@lockwoodint.com,(713) 679-5015,"Lockwood Partners, LLC",(713) 679-5015,1321 E Pasadena Fwy,Pasadena,TX,77506,United States,Yes,No,2,No
LONGFALLS PAPER,No,LONGFALLS PAPER,5,accountspayable@longfallspaperboard.com,8022570365,LONGFALLS PAPER,8022570365,161 Wellington Rd,Brattleboro,VT,05301,United States,Yes,No,11,No
LUBRIZOL CORP.,No,LUBRIZOL CORP.,2,LZUSAccountsPayable@Lubrizol.com,4409434200 ohio,LUBRIZOL CORP.,4409434200 ohio,29400 LAKELAND BLVD,WICKLIFFE,OH,44092,United States,Yes,No,2,No
"LUCID ENERGY GROUP II, LLC",No,"LUCID ENERGY GROUP II, LLC",6,ap@lucid-energy.com,(214) 420-4950,"LUCID ENERGY GROUP II, LLC",(214) 420-4950,"3100 MCKINNON STREET
STE# 800",DALLAS,TX,75201,United States,Yes,No,2,Yes
M & M SUPPLY,No,M & M SUPPLY,10,tely@mmsupply.com,(405) 352-7879,M & M SUPPLY,(405) 352-7879,9000 N KELLY AVENUE,OKC,OK,73131,United States,Yes,No,2,No
MADILL GAS PROCESS LLC,No,MADILL GAS PROCESS LLC,6,madill.plant@carreragas.com,(580) 795-7396,MADILL GAS PROCESS LLC,(580) 795-7396,"CARRERA
3449 NEAFUS RD",MADILL,OK,73446-6672,United States,Yes,No,2,No
MAGELLAN MIDSTREAM PARTNERS,No,MAGELLAN MIDSTREAM PARTNERS,6,invoices@magellanlp.coupahost.com,(918) 574-7000,MAGELLAN MIDSTREAM PARTNERS,(918) 574-7000,POB 22186 MD27,TULSA,OK,74121-2186,United States,Yes,No,17,Yes
MARATHON PETROLEUM CO,No,MARATHON PETROLEUM CO,2,apayable@marathonpetroleum.com,(866) 876-2455,MARATHON PETROLEUM CO,(866) 876-2455,POB 599701,SAN ANTONIO,TX,78259-9701,United States,Yes,No,17,No
"MARKWEST ENERGY EAST TEXAS GAS CO, LLC",No,"MARKWEST ENERGY EAST TEXAS GAS CO, LLC",6,APInvoicesMarkWest@marathonpetroleum.com,(903) 694-2225,"MARKWEST ENERGY EAST TEXAS GAS CO, LLC",(903) 694-2225,"1515 APAPHOE ST TOWER 1, STE# 1600",DENVER,CO,80202,United States,Yes,No,2,Yes
"MARTIN UNDERGROUND STORAGE, INC",No,"MARTIN UNDERGROUND STORAGE, INC",6,KENT.MCGRAW@MARTINMLP.COM,,"MARTIN UNDERGROUND STORAGE, INC",,PO BOX 389,ARCADIA,LA,71001,United States,Yes,No,11,Yes
MARYLAND PAPER,No,MARYLAND PAPER,5,accounting@marylandpaper.com,3012236550,MARYLAND PAPER,3012236550,16144 ELLIOTT PKWY,WILLIAMSPORT,MD,21795,United States,Yes,No,2,No
MATHESON TRI-GAS,No,MATHESON TRI-GAS,2,MTG-ap@mathesongas.com,(281) 495-0773,MATHESON TRI-GAS,(281) 495-0773,909 LAKE CAROLYN PARKWAY,IRVING,TX,75039,United States,Yes,No,2,Yes
"MEASUREMENT, INSTURMENTATION & CO",No,"MEASUREMENT, INSTURMENTATION & CO",10,sgriff747@gmail.com,(661) 401-0070,"MEASUREMENT, INSTURMENTATION & CO",(661) 401-0070,2251 ORPHEUS CT,BAKERSFIELD,CA,93308,United States,Yes,No,2,No
MECHANICAL CONCEPTS LLC,No,MECHANICAL CONCEPTS LLC,10,mwiggins@mechanicalconceptsllc.com,(318) 453-2469,MECHANICAL CONCEPTS LLC,(318) 453-2469,935 W 70TH,SHREVEPORT,LA,71106,United States,Yes,No,11,No
MEC-TRIC CONTROL CO,No,MEC-TRIC CONTROL CO,10,Payables@mec-tric.com,(704) 376-8555,MEC-TRIC CONTROL CO,(704) 376-8555,4110 MONROE ROAD,CHARLOTTE,NC,28205,United States,Yes,No,2,No
MERCER VALVE CO,No,MERCER VALVE CO,10,accountspayable@mercervalve.net,(405) 470-5219,MERCER VALVE CO,(405) 470-5219,POB 270970,OKC,OK,73137,United States,Yes,No,2,No
MESSER LLC,No,MESSER LLC,2,noah.reeves@messer-us.com,(803) 443-5054,MESSER LLC,(803) 443-5054,85 AIRCO BLVD,AIKENS,SC,29801,United States,Yes,No,2,Yes
MID GEORGIA COGEN,No,MID GEORGIA COGEN,4,michelle.harrington@midgapower.com,(478) 987-9701,MID GEORGIA COGEN,(478) 987-9701,POB 160,KATHLEEN,GA,31047,United States,Yes,No,2,No
MIDCOAST G& P (EAST TEXAS),No,MIDCOAST G& P (EAST TEXAS),6,apinvoicesubmission@midcoastenergy.com,(713) 627-4275,MIDCOAST G& P (EAST TEXAS),(713) 627-4275,"ACCOUNTS PAYABLE
POB 128",HOUSTON,TX,77001,United States,Yes,No,2,No
MIDSTREAM VALVE PARTNERS,No,MIDSTREAM VALVE PARTNERS,10,AP@midstreamvalve.com,(713) 234-1270,MIDSTREAM VALVE PARTNERS,(713) 234-1270,13915 SERVICE CENTER RD,TOMBALL,TX,77377,United States,Yes,No,2,No
MIG ENERGY & ENG,No,MIG ENERGY & ENG,10,,,MIG ENERGY & ENG,,"UNIT 2-1 LEVEL 2 PODIUM TOWER 3
NO 1 JALAN PENGATURCARA",U1 51A SEKSYE,,,Malaysia,Yes,No,11,Yes
"MISSION CREEK RESOURCES, LLC",No,"MISSION CREEK RESOURCES, LLC",6,scox@missioncrk.com,(870) 235-0400,"MISSION CREEK RESOURCES, LLC",(870) 235-0400,POB 2060,MAGNOLIA,AR,71754,United States,Yes,No,2,Yes
MOAB ENERGY LLC,No,MOAB ENERGY LLC,10,ap@moabenergy.com,(903) 224-7612,MOAB ENERGY LLC,(903) 224-7612,PO BOX 4324,LONGVIEW,TX,75606,United States,Yes,No,2,Yes
"Moody-Price, L.L.C.",No,"Moody-Price, L.L.C.",10,accountspayable@moodyprice.com,(225) 767-7755,"Moody-Price, L.L.C.",(225) 767-7755,POB 260044,BATON ROUGE,LA,70826,United States,Yes,No,2,No
MOTION INDUSTRIES,No,MOTION INDUSTRIES,10,ap.corporate@motion-ind.com,(877) 558-9287,MOTION INDUSTRIES,(877) 558-9287,POB 1655,BIRMINGHAM,AL,35201,United States,Yes,No,11,No
MRC GLOBAL.,No,MRC GLOBAL.,1,einvoicing-us@mrcglobal.com,(432) 276-7819,MRC GLOBAL.,(432) 276-7819,POB 513,CHARLESTON,WV,25322,United States,Yes,No,2,No
"MSEC, INC",No,"MSEC, INC",10,invoice@msecinc.com,(303) 232-4100,"MSEC, INC",(303) 232-4100,600 CORPORATE CIRCLE STE. H,GOLDEN,CO,80401-5604,United States,Yes,No,2,Yes
MW ENERGY WEST TEXAS GAS COMPANY,No,MW ENERGY WEST TEXAS GAS COMPANY,6,APInvoicesMarkWest@marathonpetroleum.com,(361) 244-0109,MW ENERGY WEST TEXAS GAS COMPANY,(361) 244-0109,"1515 APAPHOE ST TOWER 1, STE# 1600",DENVER,CO,80202,United States,Yes,No,2,No
NA SOLID PETROSERVE LTD CANADA CALGARY - SUCURSALA ROMANIA,No,NA SOLID PETROSERVE LTD CANADA CALGARY - SUCURSALA ROMANIA,10,rhoskins@sullivanprocess.com,(866) 247-6543,NA SOLID PETROSERVE LTD CANADA CALGARY - SUCURSALA ROMANIA,(866) 247-6543,"PLOIESTI, IND. PARK CRANGUL LUI BOT, STR. CONULUI, NR.6
VAT CODE: RO32985813 EORI CODE: ROCA2010010953",,,100213,United States,Yes,No,11,Yes
NAN YA PLASTICS CORP. AMERICA,No,NAN YA PLASTICS CORP. AMERICA,2,TXAccounting@ftpc.fpcusa.com,(361) 987-7000,NAN YA PLASTICS CORP. AMERICA,(361) 987-7000,"POB 478
ATTN: ACCOUNTS PAYABLE",LIVINGSTON,NJ,07039,United States,Yes,No,2,No
NEW ULM PUBLIC UTILITIES COMMISSION,No,NEW ULM PUBLIC UTILITIES COMMISSION,4,janines@newulmmn.gov,(507) 359-8259,NEW ULM PUBLIC UTILITIES COMMISSION,(507) 359-8259,310 1ST NORTH,NEW ULM,MN,56073,United States,Yes,No,2,Yes
NEWPOINT GAS LLC,No,NEWPOINT GAS LLC,8,zane.rhodes@newpointgas.com,(979) 820-0556,NEWPOINT GAS LLC,(979) 820-0556,1124 MILAN STREET,COLUMBUS,TX,78934,United States,Yes,No,2,No
NORTH AMERICAN PROCESS CONTROLS,No,NORTH AMERICAN PROCESS CONTROLS,10,ccooper@napcgi.com,,NORTH AMERICAN PROCESS CONTROLS,,133 MARGARET AVE,DAVIDSVILLE,PA,15928,United States,Yes,No,2,Yes
NORTHEAST SOLITE CORP,No,NORTHEAST SOLITE CORP,3,tleris@nesolite.com,(845) 246-2933,NORTHEAST SOLITE CORP,(845) 246-2933,POB 437,MT MARION,NY,12456,United States,Yes,No,2,No
NORTHWEST LOUISIANA TECHNICAL COLLEGE,No,NORTHWEST LOUISIANA TECHNICAL COLLEGE,3,tabithascott@nltcc.edu,2686966.00,NORTHWEST LOUISIANA TECHNICAL COLLEGE,2686966,9500 INDUSTRIAL DRIVE,MINDEN,LA,71055,United States,Yes,No,2,No
NOURYON FUNCTIONAL CHEMICALS,No,NOURYON FUNCTIONAL CHEMICALS,2,david.atchison@nouryon.com,(281) 817-9139,NOURYON FUNCTIONAL CHEMICALS,(281) 817-9139,"ACCTG CTR AMERICAS
525 W VAN BUREN STREET",CHICAGO,IL,60607-3823,United States,Yes,No,2,No
NOVVI,No,NOVVI,2,AP@novvi.com,2814880959,NOVVI,2814880959,POB 1169,LAPORTE,TX,77572,United States,Yes,No,2,No
NPL CONSTRUCTION,No,NPL CONSTRUCTION,10,cheitz@gonpl.com,(952) 469-2800,NPL CONSTRUCTION,(952) 469-2800,8190 215 TH STREET WEST,WEST LAKEVILLE,MN,55044,United States,Yes,No,11,Yes
NPS SPILL CONTROL LLC,No,NPS SPILL CONTROL LLC,3,AP@NPSSpillControl.com,(630) 293-6055,NPS SPILL CONTROL LLC,(630) 293-6055,3303 SPIRIT WAY,GREEN BAY,WI,54304,United States,Yes,No,2,Yes
NUTRIEN,No,NUTRIEN,3,chris.maddox@nutrien.com,(706) 993-0507,NUTRIEN,(706) 993-0507,P.O. BOX 1483,AUGUSTA,GA,30903,United States,Yes,No,11,Yes
NVENT,No,NVENT,10,john.marinan@nvent.com,(763) 274-8958,NVENT,(763) 274-8958,2100 HOFFMAN WAY,ANOKA,MN,55303,United States,Yes,No,2,Yes
OAKWAY PARK SDN BHD (1095389-A),No,OAKWAY PARK SDN BHD (1095389-A),10,alee@sullivanprocess.com,(036) 028-5870,OAKWAY PARK SDN BHD (1095389-A),(036) 028-5870,"NO 13G (M), JALAN ORKID 2B, SEKSYEN BS2, BUKIT SENTOSA, 48300 RAWANG",SELANGOR,MALAYSIA,,Malaysia,Yes,No,2,Yes
OCEAN AUTOMATION SOLUTIONS PTF,No,OCEAN AUTOMATION SOLUTIONS PTF,10,rhoskins@sullivanprocess.com,,OCEAN AUTOMATION SOLUTIONS PTF,,"50 TUAS AVE 11, #01-05 TUAS LOT",SINGAPORE,639107,,Singapore,Yes,No,11,Yes
OKLAHOMA STEEL & WIRE,No,OKLAHOMA STEEL & WIRE,10,mcass@midamericansteel.com,580-795-2559,OKLAHOMA STEEL & WIRE,580-795-2559,POB 220 HWY 70 S,MADILL,OK,73446,United States,Yes,No,2,No
OM ELECTRICALS SALES,No,OM ELECTRICALS SALES,10,rhoskins@sullivanprocess.com,,OM ELECTRICALS SALES,,"AND SERVICES 36
ASHOP ALAV MARKET
NEAR MODHERA CROSS ROAD",MEHSANA 384,,,India,Yes,No,2,Yes
OMNI SALES INTERNATIONAL,No,OMNI SALES INTERNATIONAL,10,info@omnisales-intl.com,(870) 863-5346,OMNI SALES INTERNATIONAL,(870) 863-5346,"POB 10901
518 S JACKSON AVENUE",EL DORADO,AR,71730,United States,Yes,No,2,No
ONEOK INC,No,ONEOK INC,6,POAccountspayable@oneok.com,(918) 246-4773,ONEOK INC,(918) 246-4773,100 WEST 5TH ST,TULSA,OK,74103,United States,Yes,No,17,Yes
OOG-TKP OIL SERVICES LTD,No,OOG-TKP OIL SERVICES LTD,10,rhoskins@sullivanprocess.com,5.54734E+11,OOG-TKP OIL SERVICES LTD,554733901500,"MAPLES CORP SERVICES LTD
POB 209 UGLAND HOUSE",GRAND CAYMAN,KY1-1104,,Cayman Islands,Yes,No,11,Yes
OPD,No,OPD,8,accountspayable@opdepc.com,2813717500,OPD,2813717500,POB 810,KATY,TX,77493,United States,Yes,No,2,No
ORG CHEM GROUP,No,ORG CHEM GROUP,2,kmoseley@chem-group.com,18127598335,ORG CHEM GROUP,18127598335,POB 3642,EVANSVILLE,IN,47711,United States,Yes,No,2,No
OTTER TAIL POWER (COYOTE),No,OTTER TAIL POWER (COYOTE),4,coyoteadmin@otpco.com,(701) 873-2571,OTTER TAIL POWER (COYOTE),(701) 873-2571,"POB 339
6240 13TH STREET",BEULAH,ND,58523,United States,Yes,No,2,Yes
OTTER TAIL POWER CO,No,OTTER TAIL POWER CO,4,mrheault@otpco.com,(218) 739-8130,OTTER TAIL POWER CO,(218) 739-8130,"SOURCING DEPT
POB 496",FERGUS FALLS,MN,56537,United States,Yes,No,11,No
OWENS ILLINOIS,No,OWENS ILLINOIS,3,john.koontz@o-i.com,(336) 225-9534,OWENS ILLINOIS,(336) 225-9534,9698 OLD HWY 52,LEXINGTON,NC,27295,United States,Yes,No,3,Yes
PACKAGING CORP OF AMERICA,No,PACKAGING CORP OF AMERICA,5,DERAccountsPayable@packagingcorp.com,(337) 462-4094,PACKAGING CORP OF AMERICA,(337) 462-4094,"ATTN: ACCOUNTS PAYABLE
POB 1060",DERIDDER,LA,70634,United States,Yes,No,2,No
PARIS GENERATION LP,No,PARIS GENERATION LP,4,vivian.mueller@mesquitegen.com,(903) 785-2992,PARIS GENERATION LP,(903) 785-2992,"ATTN: ACCTS PAYABLE
301 LAKE CROOK ROAD",PARIS,TX,75460,United States,Yes,No,2,No
PARKER HANNIFIN CORP,No,PARKER HANNIFIN CORP,10,thomas.scott@parker.com,(308) 344-3207,PARKER HANNIFIN CORP,(308) 344-3207,400 SOUTH STREET,MCCOOK,NE,69001,United States,Yes,No,11,No
PCO,No,PCO,10,malarrabee@pco2.com,(281) 421-1321,PCO,(281) 421-1321,POB 1922,BAYTOWN,TX,77520,United States,Yes,No,2,No
PELICAN INDUSTRIAL SALES CORP,No,PELICAN INDUSTRIAL SALES CORP,10,piscor94@gmail.com,63888587560,PELICAN INDUSTRIAL SALES CORP,63888587560,"DOOR 202 2ND FLOOR VAAJ SQUARE, ZONE 12",CAGAYAN DE ORO CITY,KAUSWAGAN,9000,United States,Yes,No,11,Yes
PERFORMANCE DRIVES,No,PERFORMANCE DRIVES,10,perdrives.jt@gmail.com,,PERFORMANCE DRIVES,,"ATTN: AVERY RICHARDSON
POB 1682",RICHLANDS,VA,24641,United States,Yes,No,2,Yes
PERGAN,No,PERGAN,2,ap@pergan-na.com,(903) 638-5141,PERGAN,(903) 638-5141,710A BUSSEY RD,MARSHALL,TX,75670,United States,Yes,No,2,No
PERMIAN VALVE REPAIR INC,No,PERMIAN VALVE REPAIR INC,10,clayton@permianvalve.com,(432) 381-1313,PERMIAN VALVE REPAIR INC,(432) 381-1313,4301 N CR WEST,ODESSA,TX,79764,United States,Yes,No,11,No
PETRO PROCESSING,No,PETRO PROCESSING,10,petroprocessing@gmail.com,(940) 393-5729,PETRO PROCESSING,(940) 393-5729,POB 1144,BRIDGE PORT,TX,76426,United States,Yes,No,2,No
PHOENIX CEMENT CO,No,PHOENIX CEMENT CO,3,apgeneralmail@srmaterials.com,(480) 850-5757,PHOENIX CEMENT CO,(480) 850-5757,"SALT RIVER MATERIALS 
8800 E CHAPARRAL RD 
STE# 155",SCOTTSDALE,AZ,85250-2606,United States,Yes,No,2,No
PILGRIMS PRIDE,No,PILGRIMS PRIDE,3,apinvoices@jbssa.com,,PILGRIMS PRIDE,,1770 PROMONTORY CIRCLE,GREELEY,CO,80634,United States,Yes,No,17,No
PILOT CHEMICAL HOLDINGS INC,No,PILOT CHEMICAL HOLDINGS INC,2,Accountpayable@pilotchemical.com,(513) 326-0600,PILOT CHEMICAL HOLDINGS INC,(513) 326-0600,"9075 CENTRE POINTE DRIVE
STE# 400",WEST CHESTER,OH,45069,United States,Yes,No,2,No
PNEUMATIC CONTROL INC,No,PNEUMATIC CONTROL INC,10,fletcherperez@pneumaticcontrol.com,(661) 325-1200,PNEUMATIC CONTROL INC,(661) 325-1200,"DBA CONTROL SPECIALTIES
POB 80907",BAKERSFIELD,CA,93380-0907,United States,Yes,No,2,Yes
POLYMER PRODUCTS,No,POLYMER PRODUCTS,2,credit@polymer-product.com,(817) 265-6731,POLYMER PRODUCTS,(817) 265-6731,2613 AVIATION PKWY,GRAND PRAIRIE,TX,75052,United States,Yes,No,2,No
PORTERSVILLE PRD LLC,No,PORTERSVILLE PRD LLC,10,AP@PORTERSVILLEPRD.COM,(724) 368-8725,PORTERSVILLE PRD LLC,(724) 368-8725,2680 NEW BUTLER ROAD,NEW CASTLE,PA,16101,United States,Yes,No,2,Yes
POTLATCH/DELTIC TIMBER CORP,No,POTLATCH/DELTIC TIMBER CORP,5,ap@potlatchdeltic.com,5093432804,POTLATCH/DELTIC TIMBER CORP,5093432804,601 W 1ST AVENUE STE# 1600,SPOKANE,WA,99201,United States,Yes,No,2,No
"Powerpac, LLC",No,"Powerpac, LLC",8,jimmeyer4559@gmail.com,(660) 619-6367,"Powerpac, LLC",(660) 619-6367,26407 Prairie Rd,Sedalia,MO,65301,United States,Yes,No,2,No
PRAXAIR (NY),No,PRAXAIR (NY),2,AP_PTC@praxair.com,,PRAXAIR (NY),,POB 808,TONAWANDA,NY,14151-0808,United States,Yes,No,2,No
PRECISION SERVICES,No,PRECISION SERVICES,10,apinvoices@ppvs.com,(859) 371-9003,PRECISION SERVICES,(859) 371-9003,1829 LASER LANE,LOUISVILLE,KY,40299,United States,Yes,No,2,No
PRECISION VALVE SERVICES LLC,No,PRECISION VALVE SERVICES LLC,10,scott@precisionvalveservices.com,,PRECISION VALVE SERVICES LLC,,5209 SIERRA VISTA DRIVE,CARLSBAD,NM,88220,United States,Yes,No,11,Yes
"PROMAR INTERNATIONAL MFG, LLC",No,"PROMAR INTERNATIONAL MFG, LLC",10,promarintl@promarintl.com,(909) 868-2930,"PROMAR INTERNATIONAL MFG, LLC",(909) 868-2930,POB 1721,STAFFORD,TX,77497-1721,United States,Yes,No,2,No
"Prometheus Energy Group, Inc.",No,"Prometheus Energy Group, Inc.",2,,(832) 456-6500,"Prometheus Energy Group, Inc.",(832) 456-6500,10375 Richmond Ave # 700,Houston,TX,77042,United States,Yes,No,11,No
PROTHERM CORP,No,PROTHERM CORP,8,rob@prothermcorp.com,(314) 894-6720,PROTHERM CORP,(314) 894-6720,11108 SOUTH TOWNE SQUARE,SAINT LOUIS,MO,63123-7813,United States,Yes,No,2,No
PSPI - POTSDAM SPECIALTY PAPER INC,No,PSPI - POTSDAM SPECIALTY PAPER INC,5,PSPIAccounting@pspi.us.com,(315) 265-4000,PSPI - POTSDAM SPECIALTY PAPER INC,(315) 265-4000,547 A SISSONVILLE ROAD,POTSDAM,NY,13676,United States,Yes,No,2,No
PT INTI BERKAT MANDIRI,No,PT INTI BERKAT MANDIRI,10,rhoskins@sullivanprocess.com,,PT INTI BERKAT MANDIRI,,MUTIARA TAMAN PALEM BLOK C19 NO. 87,JAKARTA BARAT 11730,,,Indonesia,Yes,No,11,Yes
PT SIGMA KREASI INSTRUMENTS,No,PT SIGMA KREASI INSTRUMENTS,10,,,PT SIGMA KREASI INSTRUMENTS,,"JL ANGGREK NELI MUNIC 123
KEMANGGISAN",JAKARTA BARAT 11480,INDONESIA,,Indonesia,Yes,No,11,Yes
